               now_time             epsilon       MSE          RMSE         MAE         MAPE         SMAPE
0       2021-08-26-16h-15m-26s          0       173.614       13.176        9.805      115.074       39.533
2       2021-08-26-16h-16m-03s          0        130.98       11.445        8.953      171.182       37.395
3       2021-08-26-16h-18m-02s          0       131.189       11.454        8.963      173.913       37.355
4       2021-08-26-16h-18m-30s          0       126.568        11.25        8.852       98.827       37.703
5       2021-08-26-16h-19m-01s          0       142.603       11.942        9.226      108.313       39.065
6       2021-08-26-16h-19m-30s          0       135.077       11.622        9.075      117.624       38.872
7       2021-08-26-16h-19m-46s          0       126.568        11.25        8.852       98.827       37.703
8       2021-08-26-16h-21m-26s          0       168.918       12.997        9.909      102.638       39.982
9       2021-08-26-16h-21m-59s          0       128.613       11.341         8.93      263.459       36.864
10      2021-08-26-16h-22m-15s          0       138.086       11.751        9.025      101.559       38.202
11      2021-08-26-16h-40m-28s          0         0.004        0.063        0.046      101.559       38.202
12      2021-08-26-16h-40m-54s          0         0.004        0.063        0.046      101.559       38.202
13      2021-08-26-16h-41m-36s          0         0.004        0.063        0.046      101.559       38.202
14      2021-08-26-16h-45m-41s          0         0.004        0.063        0.046      101.559       38.202
15      2021-08-26-19h-28m-17s          0         0.009        0.095        0.073       78.481       45.509
16      2021-08-26-19h-31m-20s          0         0.019        0.138         0.11       53.277       44.787
17      2021-08-26-19h-31m-45s          0         0.019        0.138         0.11       53.277       44.787
18      2021-08-26-19h-33m-25s          0         0.019        0.138         0.11       53.277       44.787
19      2021-08-26-19h-34m-35s        0.2         0.019        0.138         0.11       53.277       44.787
20      2021-08-26-19h-35m-35s        0.2       729.496       27.009       21.716       53.277       44.787
21      2021-08-26-19h-36m-30s        0.2       729.496       27.009       21.716       53.277       44.787
22      2021-08-26-20h-05m-08s        0.1        329.91       18.163       14.429       78.481       45.509
